Data Source,Data Value Alt,Data Value Type,Data Value Unit,"Cases per 100,000 People",F1,High Confidence Limit,Location Abbr,State,Low Confidence Limit,Number of Records,Heart Disease Stratification,Response,Gender,Stratification2,Stratification3,Topic,Year End,Year Start
NVSS,187.2,Age-adjusted Rate,"cases per 100,000",187.2,294696,193.5,OK,Oklahoma,180.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,98.4,Age-adjusted Rate,"cases per 100,000",98.4,294704,102.7,OR,Oregon,94.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,138.8,Age-adjusted Rate,"cases per 100,000",138.8,294712,141.5,PA,Pennsylvania,136,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,154.3,Age-adjusted Rate,"cases per 100,000",154.3,294720,164.8,RI,Rhode Island,143.9,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,134,Age-adjusted Rate,"cases per 100,000",134,294728,138.8,SC,South Carolina,129.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,157,Age-adjusted Rate,"cases per 100,000",157,294737,168.6,SD,South Dakota,145.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,175,Age-adjusted Rate,"cases per 100,000",175,294745,179.7,TN,Tennessee,170.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,133.7,Age-adjusted Rate,"cases per 100,000",133.7,294753,136,TX,Texas,131.5,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,96.3,Age-adjusted Rate,"cases per 100,000",96.3,294762,102.4,UT,Utah,90.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,114.7,Age-adjusted Rate,"cases per 100,000",114.7,294770,118.2,VA,Virginia,111.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,130.4,Age-adjusted Rate,"cases per 100,000",130.4,294778,142.5,VT,Vermont,118.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,120.4,Age-adjusted Rate,"cases per 100,000",120.4,294786,124.2,WA,Washington,116.6,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,127.1,Age-adjusted Rate,"cases per 100,000",127.1,294795,131.2,WI,Wisconsin,123.1,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,163.1,Age-adjusted Rate,"cases per 100,000",163.1,294803,171,WV,West Virginia,155.2,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,116,Age-adjusted Rate,"cases per 100,000",116,294811,128.6,WY,Wyoming,103.4,1,Mortality from Coronary Heart Disease,,Male,,,Cardiovascular Disease,2014,2014
NVSS,100.4,Age-adjusted Rate,"cases per 100,000",100.4,295631,115.4,AK,Alaska,85.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,125,Age-adjusted Rate,"cases per 100,000",125,295639,129.8,AL,Alabama,120.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,128.6,Age-adjusted Rate,"cases per 100,000",128.6,295647,134.6,AR,Arkansas,122.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,71,Age-adjusted Rate,"cases per 100,000",71,295655,73.8,AZ,Arizona,68.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,89.6,Age-adjusted Rate,"cases per 100,000",89.6,295663,91,CA,California,88.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,97.9,Age-adjusted Rate,"cases per 100,000",97.9,295671,102.2,CO,Colorado,93.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,90,Age-adjusted Rate,"cases per 100,000",90,295679,94.4,CT,Connecticut,85.6,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,60.7,Age-adjusted Rate,"cases per 100,000",60.7,295687,70.9,DC,District of Columbia,50.6,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,98.5,Age-adjusted Rate,"cases per 100,000",98.5,295695,107.7,DE,Delaware,89.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,66.9,Age-adjusted Rate,"cases per 100,000",66.9,295703,68.3,FL,Florida,65.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.7,Age-adjusted Rate,"cases per 100,000",106.7,295711,110.3,GA,Georgia,103.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,67.9,Age-adjusted Rate,"cases per 100,000",67.9,295719,73.8,HI,Hawaii,62,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.9,Age-adjusted Rate,"cases per 100,000",106.9,295727,111.9,IA,Iowa,101.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.4,Age-adjusted Rate,"cases per 100,000",106.4,295735,114,ID,Idaho,98.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,99.1,Age-adjusted Rate,"cases per 100,000",99.1,295743,101.7,IL,Illinois,96.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,127.6,Age-adjusted Rate,"cases per 100,000",127.6,295751,131.7,IN,Indiana,123.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,109.6,Age-adjusted Rate,"cases per 100,000",109.6,295759,115.1,KS,Kansas,104.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,126.1,Age-adjusted Rate,"cases per 100,000",126.1,295767,131.2,KY,Kentucky,121,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,115.6,Age-adjusted Rate,"cases per 100,000",115.6,295775,120.4,LA,Louisiana,110.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,92.8,Age-adjusted Rate,"cases per 100,000",92.8,295783,96.2,MA,Massachusetts,89.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,68.8,Age-adjusted Rate,"cases per 100,000",68.8,295791,72.1,MD,Maryland,65.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,103.2,Age-adjusted Rate,"cases per 100,000",103.2,295799,110.6,ME,Maine,95.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,111.8,Age-adjusted Rate,"cases per 100,000",111.8,295807,114.9,MI,Michigan,108.8,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106.5,Age-adjusted Rate,"cases per 100,000",106.5,295815,110.6,MN,Minnesota,102.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,106,Age-adjusted Rate,"cases per 100,000",106,295823,109.8,MO,Missouri,102.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,158.4,Age-adjusted Rate,"cases per 100,000",158.4,295831,165.4,MS,Mississippi,151.3,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,96.5,Age-adjusted Rate,"cases per 100,000",96.5,295839,104.7,MT,Montana,88.3,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,107,Age-adjusted Rate,"cases per 100,000",107,295847,110.2,NC,North Carolina,103.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,110.1,Age-adjusted Rate,"cases per 100,000",110.1,295855,120.9,ND,North Dakota,99.4,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,121,Age-adjusted Rate,"cases per 100,000",121,295863,128.2,NE,Nebraska,113.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,98.6,Age-adjusted Rate,"cases per 100,000",98.6,295871,106.4,NH,New Hampshire,90.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,86.5,Age-adjusted Rate,"cases per 100,000",86.5,295879,89.4,NJ,New Jersey,83.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,81.5,Age-adjusted Rate,"cases per 100,000",81.5,295887,87.2,NM,New Mexico,75.8,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,61.4,Age-adjusted Rate,"cases per 100,000",61.4,295895,65.9,NV,Nevada,56.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,80.9,Age-adjusted Rate,"cases per 100,000",80.9,295903,82.8,NY,New York,79.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,112.9,Age-adjusted Rate,"cases per 100,000",112.9,295911,115.7,OH,Ohio,110.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,141.1,Age-adjusted Rate,"cases per 100,000",141.1,295919,146.7,OK,Oklahoma,135.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,129.3,Age-adjusted Rate,"cases per 100,000",129.3,295927,134.3,OR,Oregon,124.2,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,105.4,Age-adjusted Rate,"cases per 100,000",105.4,295935,107.8,PA,Pennsylvania,102.9,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,114.1,Age-adjusted Rate,"cases per 100,000",114.1,295943,123.2,RI,Rhode Island,105,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,124.4,Age-adjusted Rate,"cases per 100,000",124.4,295951,129.2,SC,South Carolina,119.6,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,110.3,Age-adjusted Rate,"cases per 100,000",110.3,295959,120.1,SD,South Dakota,100.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,112.7,Age-adjusted Rate,"cases per 100,000",112.7,295967,116.7,TN,Tennessee,108.8,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,111.6,Age-adjusted Rate,"cases per 100,000",111.6,295975,113.8,TX,Texas,109.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,115.7,Age-adjusted Rate,"cases per 100,000",115.7,295984,122.6,UT,Utah,108.8,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,92.7,Age-adjusted Rate,"cases per 100,000",92.7,295992,96,VA,Virginia,89.5,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,101.5,Age-adjusted Rate,"cases per 100,000",101.5,296000,112.6,VT,Vermont,90.3,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,113.5,Age-adjusted Rate,"cases per 100,000",113.5,296008,117.3,WA,Washington,109.7,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
NVSS,104.8,Age-adjusted Rate,"cases per 100,000",104.8,296016,108.6,WI,Wisconsin,101.1,1,Mortality from Heart Failure,,Male,,,Cardiovascular Disease,2014,2014
